num,mark,model,generation_name,year,mileage,vol_engine,fuel,city,province,price
0,opel,combo,gen-d-2011,2015,139568,1248,Diesel,Janki,Mazowieckie,35900
1,opel,combo,gen-d-2011,2018,31991,1499,Diesel,Katowice,Śląskie,78501
2,opel,combo,gen-d-2011,2015,278437,1598,Diesel,Brzeg,Opolskie,27000
3,opel,combo,gen-d-2011,2016,47600,1248,Diesel,Korfantów,Opolskie,30800
64,opel,vectra,gen-b-1995-2002,1998,240000,1799,LPG,Brodnica,Kujawsko-pomorskie,2900
65,opel,vectra,gen-b-1995-2002,1999,310000,1799,Gasoline,Góra Kalwaria,Mazowieckie,2600
66,opel,vectra,gen-b-1995-2002,2001,345000,1796,Gasoline,Maków Mazowiecki,Mazowieckie,6000
93,opel,vectra,gen-c-2002-2008,2007,229000,1910,Diesel,Łagów,Świętokrzyskie,14900
94,opel,vectra,gen-c-2002-2008,2008,253477,1910,Diesel,Szczyglice,Dolnośląskie,9999
189,opel,adam,gen-g-2016-2017,2013,101514,1398,Gasoline,Warszawa,Mazowieckie,29900
285,opel,agila,gen-b-2008,2009,149000,996,Gasoline,Warszawa,Mazowieckie,11500
286,opel,agila,gen-b-2008,2011,100942,1242,Gasoline,Skarżysko-Kamienna,Świętokrzyskie,16300
287,opel,agila,gen-b-2008,2009,57700,1242,Gasoline,Bydgoszcz,Kujawsko-pomorskie,13400
288,opel,agila,gen-b-2008,2008,93000,996,Gasoline,Gryfino,Zachodniopomorskie,12800
289,opel,agila,gen-b-2008,2009,146000,996,Gasoline,Bytom,Śląskie,13500
8059,opel,zafira,gen-b-2005-2011,2007,204855,1910,Diesel,Tychy,Śląskie,13999
8060,opel,zafira,gen-b-2005-2011,2007,278550,1910,Diesel,Nowa Słupia,Świętokrzyskie,14000
8061,audi,a3,gen-8p-2003-2012,2010,169500,1390,Gasoline,Cieszyn,Śląskie,29900
8062,audi,a3,gen-8p-2003-2012,2018,67990,1500,Gasoline,Kielce,Świętokrzyskie,129850
8063,audi,a3,gen-8p-2003-2012,2008,222248,1896,Diesel,Częstochowa,Śląskie,22900
8064,audi,a3,gen-8p-2003-2012,2010,243000,1968,Diesel,Zawiercie,Śląskie,27907
8065,audi,a3,gen-8p-2003-2012,2009,259658,1598,Diesel,Nowy Dwór Gdański,Pomorskie,23900
8066,audi,a3,gen-8p-2003-2012,2008,306000,1968,Diesel,Nowy Targ,Małopolskie,26000
8067,audi,a3,gen-8p-2003-2012,2009,198050,1595,Gasoline,Olkusz,Małopolskie,24000
14281,audi,a4,gen-b6-2000-2004,2001,296000,2976,LPG,Stary Sącz,Małopolskie,15900
14282,audi,a4,gen-b6-2000-2004,2002,313000,1984,Gasoline,Żarki Wielkie,Lubuskie,11900
14283,audi,a4,gen-b6-2000-2004,2002,249000,2976,LPG,Olsztyn,Warmińsko-mazurskie,12900
14284,audi,a4,gen-b6-2000-2004,2002,174000,1781,Gasoline,Jasło,Podkarpackie,14900
17623,audi,a5,gen-8t-2007-2016,2013,169000,2967,Diesel,Mogilno,Kujawsko-pomorskie,68600
17624,audi,a5,gen-8t-2007-2016,2014,220000,1968,Diesel,Klwatka,Mazowieckie,67990
18444,audi,a6,gen-c6-2004-2011,2004,324000,2967,Diesel,Szczytno,Warmińsko-mazurskie,15500
18445,audi,a6,gen-c6-2004-2011,2007,260000,2698,Diesel,Ostrów Mazowiecka,Mazowieckie,26900
18446,audi,a6,gen-c6-2004-2011,2009,147000,1984,Gasoline,Janki,Mazowieckie,35500
21131,audi,a8,gen-d5-2017,2020,23266,2967,Diesel,Gdańsk,Pomorskie,379900
24675,bmw,seria-1,gen-e87-2004-2013,2011,89000,1995,Gasoline,Leszno,Wielkopolskie,27777
24676,bmw,seria-1,gen-e87-2004-2013,2006,203000,1995,Diesel,Legionowo,Mazowieckie,20499
24677,bmw,seria-1,gen-e87-2004-2013,2011,188000,1995,Gasoline,Orneta,Warmińsko-mazurskie,26800
24678,bmw,seria-1,gen-e87-2004-2013,2005,92548,1596,Gasoline,Kijno,Pomorskie,14900
25897,bmw,seria-3,gen-e36-1990-1999,1999,300000,2494,Gasoline,Środa Wielkopolska,Wielkopolskie,30750
25898,bmw,seria-3,gen-e36-1990-1999,1996,112000,2793,Gasoline,Jedlińsk,Mazowieckie,68900
28694,bmw,seria-3,gen-g20-2019,2021,1,2993,Diesel,Warszawa,Mazowieckie,297600
